algorithm,apogee,argOfPerigee,bStar,classificationMarking,elset_created_at,elset_created_by,dataMode,eccentricity,idElset,idOnOrbit,inclination,line1,line2,meanAnomaly,meanMotion,meanMotionDDot,meanMotionDot,origNetwork,perigee,period,raan,revNo,satNo,semiMajorAxis,source,__START_AT,__END_AT,COUNTRY,LAUNCH,LAUNCH_NUM,LAUNCH_PIECE,NORAD_CAT_ID,OBJECT_ID,OBJECT_NAME,OBJECT_NUMBER,OBJECT_TYPE,RCS_SIZE,SATNAME,SITE,satcat_current_fetch_date
SGP4,6931.622,112.8731,8.1795E-5,U,2024-01-31T07:05:13.135Z,system.ob-ingest,REAL,1.804E-4,c758f552-502c-487f-b7bc-4dbde2d99464,46585,53.055,1 46585U 20070BF  24031.14094856 +.00000889 +00000+0 +81795-4 0 99991,2 46585  53.0550   6.8740 0001804 112.8731 247.2448 15.04762590183641,247.2448,15.0476259,0.0,8.89E-6,OPS1,6929.121,95.696,6.874,18364,46585,6930.372,18th SPCS,2024-01-31T03:22:57.955584Z,2024-02-01T03:17:36.335040Z,US,2020-10-06,70,BF,46585,2020-070BF,STARLINK-1736,46585,PAYLOAD,LARGE,STARLINK-1736,AFETR,2024-08-21
SGP4,6926.288,101.2562,9.5295E-5,U,2024-01-31T15:05:13.665Z,system.ob-ingest,REAL,1.364E-4,766507ee-5fa5-49e6-8445-db8ebc580825,46677,53.0534,1 46677U 20073H   24031.47825563 +.00001138 +00000+0 +95295-4 0 99997,2 46677  53.0534  90.2514 0001364 101.2562 258.8580 15.06401623181828,258.858,15.06401623,0.0,1.138E-5,OPS1,6924.399,95.592,90.2514,18182,46677,6925.344,18th SPCS,2024-01-31T11:28:41.286432Z,2024-02-01T12:57:18.869472Z,US,2020-10-18,73,H,46677,2020-073H,STARLINK-1766,46677,PAYLOAD,LARGE,STARLINK-1766,AFETR,2024-08-21
SGP4,6926.264,90.0102,1.4527E-4,U,2024-02-01T07:05:13.720Z,system.ob-ingest,REAL,1.321E-4,b1f9fa1b-33f2-4328-a074-b6bed3732dec,47382,53.0533,1 47382U 21005AK  24031.96203913 +.00001883 +00000+0 +14527-3 0 99995,2 47382  53.0533 238.0841 0001321  90.0102 270.1038 15.06399815168687,270.1038,15.06399815,0.0,1.883E-5,OPS1,6924.434,95.592,238.0841,16868,47382,6925.349,18th SPCS,2024-01-31T23:05:20.180832Z,2024-02-01T13:25:12.057312Z,US,2021-01-20,5,AK,47382,2021-005AK,STARLINK-2102,47382,PAYLOAD,LARGE,STARLINK-2102,AFETR,2024-08-21
SGP4,6926.27,97.406,1.6927E-4,U,2024-02-01T07:05:13.761Z,system.ob-ingest,REAL,1.394E-4,c9eb8d3e-cb98-47dc-90c1-9af4e645f2c6,47399,53.0534,1 47399U 21005BC  24031.98695150 +.00002242 +00000+0 +16927-3 0 99999,2 47399  53.0534 248.2086 0001394  97.4060 262.7088 15.06414259167607,262.7088,15.06414259,0.0,2.242E-5,OPS1,6924.339,95.591,248.2086,16760,47399,6925.305,18th SPCS,2024-01-31T23:41:12.609600Z,2024-02-01T23:34:18.710400Z,US,2021-01-20,5,BC,47399,2021-005BC,STARLINK-2121,47399,PAYLOAD,LARGE,STARLINK-2121,AFETR,2024-08-21
SGP4,6926.359,97.8024,1.5992E-4,U,2024-01-31T23:05:15.351Z,system.ob-ingest,REAL,1.467E-4,ca4b9dc4-ca24-4715-919c-7a8daa712c2e,47560,53.0537,1 47560U 21009N   24031.50680381 +.00002101 +00000+0 +15992-3 0 99996,2 47560  53.0537 210.1164 0001467  97.8024 262.3131 15.06401856165297,262.3131,15.06401856,0.0,2.101E-5,OPS1,6924.327,95.592,210.1164,16529,47560,6925.343,18th SPCS,2024-01-31T12:09:47.849184Z,2024-02-01T10:27:20.985120Z,US,2021-02-04,9,N,47560,2021-009N,STARLINK-1959,47560,PAYLOAD,LARGE,STARLINK-1959,AFETR,2024-08-21
SGP4,6926.31,84.8624,7.2661E-5,U,2024-01-31T05:05:13.845Z,system.ob-ingest,REAL,1.379E-4,a7a87798-33e2-4f60-82e5-44baae7e5ff2,47575,53.0537,1 47575U 21009AD  24030.88851917 +.00000801 +00000+0 +72661-4 0 99999,2 47575  53.0537 252.8979 0001379  84.8624 275.2523 15.06397859164636,275.2523,15.06397859,0.0,8.01E-6,OPS1,6924.4,95.592,252.8979,16463,47575,6925.355,18th SPCS,2024-01-30T21:19:28.056288Z,2024-02-01T00:23:37.718592Z,US,2021-02-04,9,AD,47575,2021-009AD,STARLINK-1977,47575,PAYLOAD,LARGE,STARLINK-1977,AFETR,2024-08-21
SGP4,6926.329,115.1804,3.8499E-5,U,2024-01-31T15:05:13.657Z,system.ob-ingest,REAL,1.452E-4,d8e91dfb-8f96-4a76-8c6a-3dec02450047,47641,53.0535,1 47641U 21012X   24031.44554940 +.00000292 +00000+0 +38499-4 0 99991,2 47641  53.0535 185.3908 0001452 115.1804 244.9335 15.06408317165008,244.9335,15.06408317,0.0,2.92E-6,OPS1,6924.318,95.592,185.3908,16500,47641,6925.323,18th SPCS,2024-01-31T10:41:35.468160Z,2024-02-02T13:38:51.210528Z,US,2021-02-16,12,X,47641,2021-012X,STARLINK-2019,47641,PAYLOAD,LARGE,STARLINK-2019,AFETR,2024-08-21
SGP4,6926.395,78.2289,4.6571E-4,U,2024-01-31T07:05:13.104Z,system.ob-ingest,REAL,1.539E-4,72c9a1ee-937a-4998-8215-30c8ed5bd06f,47677,53.0544,1 47677U 21012BK  24030.96590386 +.00006663 +00000+0 +46571-3 0 99997,2 47677  53.0544 282.5436 0001539  78.2289 281.8873 15.06406256163606,281.8873,15.06406256,0.0,6.663E-5,OPS1,6924.264,95.592,282.5436,16360,47677,6925.329,18th SPCS,2024-01-30T23:10:54.093504Z,2024-02-02T08:00:01.000224Z,US,2021-02-16,12,BK,47677,2021-012BK,STARLINK-2090,47677,PAYLOAD,LARGE,STARLINK-2090,AFETR,2024-08-21
SGP4,6926.244,70.9237,1.328E-4,U,2024-01-31T15:05:14.023Z,system.ob-ingest,REAL,1.302E-4,6f65f460-7069-40a5-bd39-ab8124d5afd9,47771,53.0542,1 47771U 21017BB  24031.46858065 +.00001697 +00000+0 +13280-3 0 99997,2 47771  53.0542  55.2964 0001302  70.9237 289.1893 15.06401921161380,289.1893,15.06401921,0.0,1.697E-5,OPS1,6924.441,95.592,55.2964,16138,47771,6925.343,18th SPCS,2024-01-31T11:14:45.368160Z,2024-02-01T11:07:50.758752Z,US,2021-03-04,17,BB,47771,2021-017BB,STARLINK-2194,47771,PAYLOAD,LARGE,STARLINK-2194,AFETR,2024-08-21
SGP4,6926.53,68.2158,2.7475E-4,U,2024-01-31T23:05:15.256Z,system.ob-ingest,REAL,1.692E-4,67d5997d-9e53-4864-9475-667fb03e3307,47791,53.0528,1 47791U 21018E   24031.59160505 +.00003813 +00000+0 +27475-3 0 99992,2 47791  53.0528  99.7478 0001692  68.2158 291.9011 15.06396859160838,291.9011,15.06396859,0.0,3.813E-5,OPS1,6924.186,95.592,99.7478,16083,47791,6925.358,18th SPCS,2024-01-31T14:11:54.676320Z,2024-02-01T10:53:55.246560Z,US,2021-03-11,18,E,47791,2021-018E,STARLINK-2322,47791,PAYLOAD,LARGE,STARLINK-2322,AFETR,2024-08-21
SGP4,6926.534,112.3268,2.5766E-4,U,2024-01-31T15:05:13.443Z,system.ob-ingest,REAL,1.695E-4,9d438e93-e9b5-48f4-812d-e4f2507540e7,47902,53.0545,1 47902U 21021AU  24031.50774073 +.00003558 +00000+0 +25766-3 0 99999,2 47902  53.0545 130.1233 0001695 112.3268 247.7901 15.06396090159782,247.7901,15.0639609,0.0,3.558E-5,OPS1,6924.187,95.592,130.1233,15978,47902,6925.361,18th SPCS,2024-01-31T12:11:08.799072Z,2024-02-01T12:04:14.574144Z,US,2021-03-14,21,AU,47902,2021-021AU,STARLINK-2362,47902,PAYLOAD,LARGE,STARLINK-2362,AFETR,2024-08-21
SGP4,6926.287,105.0588,7.612E-5,U,2024-02-01T05:05:13.934Z,system.ob-ingest,REAL,1.375E-4,5caeb60f-913d-41d6-af3c-bdde7beee59b,48149,53.0559,1 48149U 21027BK  24031.92517770 +.00000853 +00000+0 +76120-4 0 99990,2 48149  53.0559 358.2447 0001375 105.0588 255.0554 15.06404599156978,255.0554,15.06404599,0.0,8.53E-6,OPS1,6924.382,95.592,358.2447,15697,48149,6925.334,18th SPCS,2024-01-31T22:12:15.353280Z,2024-02-01T02:58:52.297824Z,US,2021-04-07,27,BK,48149,2021-027BK,STARLINK-2492,48149,PAYLOAD,LARGE,STARLINK-2492,AFETR,2024-08-21
SGP4,6926.158,96.7387,5.5839E-4,U,2024-02-01T18:05:16.263Z,system.ob-ingest,REAL,1.224E-4,bd10b6e7-0c43-43eb-9a15-8bb6a1d75692,48283,53.0533,1 48283U 21036H   24031.96481057 +.00008048 +00000+0 +55839-3 0 99998,2 48283  53.0533 288.0699 0001224  96.7387 263.3741 15.06412380152607,263.3741,15.0641238,0.0,8.048E-5,OPS1,6924.463,95.591,288.0699,15260,48283,6925.311,18th SPCS,2024-01-31T23:09:19.633248Z,2024-02-01T18:15:48.240864Z,US,2021-04-29,36,H,48283,2021-036H,STARLINK-2516,48283,PAYLOAD,LARGE,STARLINK-2516,AFETR,2024-08-21
